name	position	icon	priority	descr
Алексей ЖАРОВ	основатель	zharoff.jpg	100	Основатель и носитель идеи, разработчик системы выращивания и технический консультант для фермеров. Со-основатель и технолог Клуба Живой Еды. Со-основатель основной фермы проекта, семеноводческого и рассадного центра для фермеров-партнеров. Доктор естественных наук в области Геоботаники (Технический Университет Мюнхена, Wissenschaftszentrum Weihenstephan) Магистратура там же MSc (TUM) в области экологического планирования и мониторинга. Директор филиала аграрного предприятия и питомника растений Handel Baumschulen GmbH в Tutzing Oberbayern. Научный анализ эволюции влияния европейского сельского и лесного хозяйства на естественные экосистемы в Дании, Англии, Германии, Австрии, Франции и Италии.
Магнус ХИПП	со-основатель/консультант	hipp.png	100	С февраля 2019 поддерживает проект Клуба Живой Еды Со-основатель фермы проекта, семеноводческого и рассадного центра для фермеров-партнеров. Инициатор и организатор системы обучения для фермеров-партнеров. Инициатор и организатор системы интеграции работы с детьми в рамках боидинамического сельского хозяйства. Преподавательская деятельность в области биодинамики в Quedlinburg и Harzvorland in Thale Более 5 лет руководил первым в России биодинамическим сельскохозяйственным предприятием в Болотово. Уникальный опыт интеграции педогогической работы и эффективного ведения биодинамического сельского хозяйства.
Мариус ХЁРНЕР	со-основатель/консультант	herner.jpg	100	Ученик Алекса Подолинского. Профессиональный аграном-биодинамик. Опытный практик системы биодинамического земледелия. Консультирует и помогает зарождению биодинамических проектов по всему миру. С июня 2019 поддерживает проект Клуба Живой Еды и участвует в создании и организации проекта.
