id	title	descr	icon	address	latitude	longitude	square	prepared_square
1	Жар-Ферма	Ферма Алексея Жарова	zharfarm.jpg	деревня Трушково	54.587507	34.734867	270000	50000
2	Третьяков	Ферма Олега Третьякова	tretyakov.jpg	деревня Вязична	54.55261175	34.69317386	300000	50000
3	Болотово	54.67201689, 37.53026380	bolotovo.jpeg	деревня Болотово	54.67201689	37.5302638	400000	0
4	Джерси (Экоферма)	54.50465152, 36.83924794		деревня Богимово	54.50465152	36.83924794	15000000	0
5	Савинская нива	54.54263628, 34.92259195	savinskayaniva.jpg	деревня Савино	54.54263628	34.92259195	50000000	0
6	Ковчег (Экопоселение)	55.06219816, 36.12912905		поселок Ковчег	55.06219816	36.12912905	50000	5000														
