title	deliver_to	icon	is_delivered	descr
ВОЛНА 4, ПОСТАВКА 6	2019-11-14	supply-2019-11-14.jpg	1	Друзья, наш сезон 2019 близится к завершению. Пауза в поставках нужна для подготовки к следующему сезону. Но жизнь клуба не останавливается и зимой. Мы вместе будим решать что выращивать и как улучшить наш рацион на следующий год. Вас ждут интересные мероприятия и встречи. К нам в гости приедут организаторы других csa из германии, италии и франции. Ну а в заключительной поставке сезона к вам приедут следующие вкусности и полезности:<br/>порей зимний<br/>романеско<br/>корень петрушки<br/>редька черная<br/>свекла robuschka<br/>картофель белый<br/>брюссельская капуста<br/>савойская капуста<br/>кольраби superschmelz<br/>кейл krauser.
ВОЛНА 4, ПОСТАВКА 5	2019-11-05	supply-2019-11-05.jpg	1	Друзья, ставим анонс урожая на следующую поставку. Этот урожай содержит много горчичных масел, эфирных веществ, терпенов, витаминов и балластных веществ нужных для подготовки нашего организма к воздействию зимних сил. Из новинок новый сорт кольраби, который мы приберегли на последок, зимняя редька schwarzrettich и зимний сорт корневого сельдерея monarch.<br/>кейл krauser<br/>кейл тосканский<br/>белая миникапуста Türkis<br/>свекла robuschka<br/>картофель белый<br/>брюссельская капуста idemar и auslese<br/>редька зимняя schwarzrettig<br/>кольраби blaril<br/>сельдерей корневой<br/>репа петровская<br/>Савойская листовая.
ВОЛНА 4, ПОСТАВКА 4	2019-10-29	supply-2019-10-29.jpg	1	Друзья, анонс поставки как всегда в нижней части. Нас ждёт вкусный и полный разнообразия урожай. 16 культур в поставке. Из новинок брюссельская капуста Idemar, корень петрушки. Сицилийская цветная капуста получила немного больше мороза чем ей можно, поэтому желательно её съесть поскорее. Некоторые другие культуры тоже пришла пора собрать полностью из-за приближения зимних сил. Доли в этот раз большие, больше 10кг! Готовьтесь<br/>капуста брюссельская Idemar<br/>капуста белая Türkis<br/>капуста савойская Winterfürst<br/>кейл krauser<br/>картофель белый<br/>порей hannibal<br/>свекла Robushka<br/>репа Петровская<br/>морковка Rodelika<br/>красная цветная капустасецилианской селекции<br/>Дайкон<br/>Топинамбур<br/>Айва японская (для чая и как пряность)<br/>Айсберг mythos<br/>Корень петрушки<br/>Кольраби superschmelz.
ВОЛНА 4, ПОСТАВКА 3	2019-10-22	supply-2019-10-22.jpg	1	Анонс урожая на 22.10.19. Друзья природа балует теплом, что дает нам вожмозность снять еще один урожай айсберга и в тоже время оставить некоторые более морозостойкие культуры как например брюсельскую капусту на следующие три поставки. Новинки этой недели это топинамбур, пекинский салат, рукола, зимняя савойская капуста и дайкон. Для новых участников наши рекомендации для японской айвы: это ценный фрукт используется как приправа для рыбных блюд и салатов, а также вместе с имбирем и другими травами получается прекрасный зимний чай. Для достижения эффекта требуется совсем немного ароматного фрукта.<br/>сельдерей корневой<br/>сельдерей листовой<br/>репа петровская<br/>кейл krauser<br/>руккола культурная<br/>салат айсберг молодой<br/>миникапуста türkis<br/>салат пекинский<br/>капуста савойская зимняя winterfürst<br/>дайкон<br/>морковка rodelika<br/>айва японская<br/>топинамбур<br/>осенний брокколи rasmus.
ВОЛНА 4, ПОСТАВКА 2	2019-10-15	supply-2019-10-15.jpg	1	Друзья предварительный Анонс следующей поставки, как всегда в таблице внизу. Из новинок будет белая сладкая миникапуста сорта Türkis, полная витаминов и растительных белков, корневой сельдерей Monarch, богатый эфирными маслами для нашей жизненной энергии, поздний сорт пастернака Halblange, подходит для знаменитого пенного супа пюре Pastinaken-Samtsüppchen и вкусный осенний броколи сорта Rasmus. Айсберг будет в последний раз в этом сезоне, зато на его смену придут новые вкусности.<br/>миникапуста Türkis<br/>кейл Krauser<br/>морковка Oxhella<br/>салат Айсберг<br/>савойский кейл<br/>сельдерей корневой Monarch<br/>репа Петровская<br/>редька зимняя Schwarzrettich<br/>пастернак Halblange<br/>Броколи осенний Rasmus.
ВОЛНА 4, ПОСТАВКА 1	2019-10-08	supply-2019-10-08.jpg	1	Друзья, поздравляем с началом последней в этом сезоне волны поставок. Эта волна будет радовать вас разнообразием но раскроет секреты не сразу. Вас ждет много нового и интересного. Новинки этой поставки это листовая форма савойской капусты сорта Goldberg, сицилианская красная цветная, репа Петровская и зимняя редька Schwarzrettich<br/>Репа петровская<br/>Пастернак Aromata<br/>Редька Schwarzrettich<br/>Сицилианская цветная капуста<br/>Савойская листовая Butterkohl Goldberg<br/>Айсберг молодой<br/>Кейл кудрявый<br/>Кейл тосканский<br/>Свекла robuschka<br/>Морковка oxhella<br/>Кольраби Superschmelz<br/>Яблоки зимние.
