id	title	descr	image	address	latitude	longitude	delivery_info	pickup_info
1	Ларюшино		laryushino.jpg	деревня Ларюшино, д 137	55.77188421	36.98807647		вторник с 9:00
2	Митино			Ангелов переулок 8	55.8538845	37.34645556		вторник с 10:00
3	Сокол		montesori.jpg	улица Верещагина, 3	55.802422	37.504798		вторник с 11:00
4	Даниловский		danilovskiy.jpg	Мытная улица, 74	55.712112	37.620555		вторник с 14:00
5	Беляево		belyaevo.jpg	улица Миклухо-Маклая 	55.64348581	37.51906443		вторник с 13:00
6	Ватутинки		vatutinki.jpg	улица Кедрова	55.513453	37.366098		вторник с 13:00
7	Ясенево			проезд Одоевского, дом 7	55.601073	37.511903		вторник с 12:00
